Name,State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,GrAppv,SBA_Appv
"Blue Subs, Inc.",WA,120,7,1,3,7,1,428000,321000
International Feed.com Corpora,MN,12,15,1,10,15,1,5000000,4500000
"UNILOC USA, INC.",TX,120,11,1,0,11,1,4000000,3000000
Jet Consulting LLC,CO,84,2,1,1,2,1,10000,5000
R And L Hair Systems,TX,84,2,1,5,0,1,10000,5000
BITTERROOT WIRELESS INC,MT,84,20,1,1,1,2,100000,50000
"Lake Norman Benefits, Inc.",NC,84,13,1,1,1,1,100000,50000
Deasis Corp.,NY,84,18,1,0,18,1,25000,12500
Kaden Farms,GA,12,2,1,0,2,2,10000,5000
EsperanzaCaimares,MA,60,4,1,0,0,1,50000,25000
G A Smith Incorporated,RI,60,1,1,0,1,2,34000,17000
"Sloan & Associates, LLC",GA,240,2,1,0,0,2,142000,142000
L & L Trading and Investments,CA,73,40,1,5,3,1,100000,50000
ELKINS INSURANCE LLC,GA,96,5,1,0,5,1,15000,12750
HEARRON TRANSPORT,AZ,36,1,1,0,0,1,14000,7000
"Mark D Gregston, DDS, PC",CO,120,6,1,0,6,2,942200,706650
LARRABEE'S HOME FURNISHING CTR,CO,84,0,2,18,18,1,250000,125000
Precision Auto and Tire Servic,MO,84,7,1,0,7,2,40000,20000
"Civitello & Associates, LLC",CT,84,8,1,0,8,1,250000,187500
Jpdecor Limited Liability Comp,NJ,84,1,2,3,3,1,66500,33250
Frontier Arms Company,KS,84,1,2,0,1,2,149200,126820
"Martin G. Fitz, D.D.S., Inc.",OH,120,13,1,0,0,1,451000,338250
"Plascon Films, Inc.",MI,60,50,1,0,50,1,592000,296000
"Independence Rehab, LLC",UT,90,99,1,0,99,1,613900,460425
CAO'S ENTERPRISE INC.,CA,12,4,1,2,4,1,300000,270000
"Synoptek, Inc.",CA,12,66,1,0,66,1,500000,375000
"Farstveet Investments, LLC",SD,240,1,1,0,0,2,618000,618000
INTERNATIONAL AUTO WHOLESALERS,AL,84,2,2,0,2,1,20000,10000
"IBS Commodities, Inc",MA,12,5,1,1,5,1,4000000,3600000
"Datrose, Inc.",NY,120,100,1,0,100,1,900000,675000
Foundation Management Associat,MA,12,2,1,1,3,1,25000,12500
BioMatrix Inc.,MN,84,13,1,0,13,2,330000,247500
"Umphrey Potato Company, Inc.",ME,180,2,1,0,2,1,45000,22500
"WPJ Tax, LLC",MI,60,1,2,6,6,1,25000,21250
Quarterline Consulting Service,VA,12,135,1,100,35,1,3000000,2250000
Desert Flip Flops LLC,AZ,108,3,2,3,0,1,149600,127160
"James M. Thomas, DDS, MS, PLLC",WA,120,6,1,4,6,1,967500,725625
"Sensational Desserts, L.L.C.",NJ,84,15,1,0,0,1,25000,12500
T T & R Trucking,MD,72,2,2,2,0,1,88000,74800
"Poco Diablo, Inc",NH,12,32,1,15,32,1,100000,75000
"Wild Planet, Inc. (OC)",CA,300,5,1,1,5,1,700000,525000
"The Soap Deli, LLC",MI,120,0,2,1,0,1,75000,37500
Andrea Arias DBA Million Marke,MA,60,1,2,0,1,1,55000,27500
Alternative Design & Construct,WI,84,9,1,1,0,1,25000,12500
"Nall Communications, LLC",WA,120,48,1,2,48,1,305000,228750
"Dawson Family Dentistry, P.C.",IN,84,11,1,0,11,1,60000,30000
Solid Solutions Manufacturing,CA,84,4,1,1,1,1,50000,25000
Coastal Transport LLC,OH,60,3,1,1,5,1,85500,42750
Iowa Audio Video Inc,IA,4,1,2,0,1,1,48000,24000
"Bob Kretchmer D.D.S., P.A.",MN,12,5,1,0,5,1,30000,15000
LITTLE WOK II INC,IL,60,7,1,1,8,1,50000,25000
Transplastics Corporation,CA,84,2,1,3,3,1,65000,32500
R D H SUBURBAN SERVICE INC,MO,60,4,1,0,4,1,20000,10000
A-1 Chimney Sweeps Inc.,OH,60,0,1,0,0,1,25000,12500
G Edward Business Solutions In,FL,84,45,1,5,0,1,50000,25000
Notre Monde Ltd,OH,60,6,1,0,0,1,25000,12500
"Community Energy, Heating & Co",MO,12,1,2,0,1,1,25000,12500
"Intersource, LLC",WA,84,18,1,0,18,1,259000,194250
"DOCSTER, INC",TX,72,4,1,0,4,1,35000,17500
Microtek Precision,CA,84,2,1,0,0,1,10000,5000
"Hybrid Design, Inc. and Super",CA,120,18,1,2,18,1,414000,310500
"James A. Buechel, DMD, PC",MA,60,4,1,1,5,1,100000,50000
"R.S. Builders and Remodeling,",LA,60,1,1,0,1,1,15000,7500
J.B.K. DRY CLEAN CORPORATION I,TX,84,12,1,0,12,1,30000,15000
Terry Nethers,OH,240,2,1,5,2,1,128000,64000
"Home Clever, Inc.",CA,84,20,1,0,0,1,100000,50000
Sweet Haven Bakery LLC,ND,82,2,2,2,0,1,27000,13500
"Bikram Yoga Glastonbury, LLC",CT,48,1,1,0,0,1,30000,15000
"Merrell-Johnson Engineering, I",CA,120,15,1,0,15,1,150000,112500
The Print Connection LLC,CO,72,3,1,2,5,1,20000,10000
KATANA LLC,CO,84,1,1,1,1,1,20000,10000
"JUDD INDUSTRIES, INC.",UT,84,1,1,0,1,1,5800,2900
Real Mining Supply Inc,FL,12,17,1,0,17,1,2000000,1800000
D&M Electrical Contracting Inc,NY,4,17,1,24,0,1,350000,262500
D&M Electrical Contracting Inc,NY,4,17,1,24,0,1,330000,247500
LA MEXICANA LLC,OH,16,2,1,0,0,1,10000,5000
"Bloomfield SNS Food, Inc.",NY,84,2,1,0,2,1,100000,50000
"MARTINEZ CELAYA, INC.",FL,240,3,1,3,0,1,725000,725000
"MARTINEZ CELAYA, INC.",FL,240,3,1,3,0,1,557000,557000
Radio Frequency Simulation Sys,CA,12,12,2,0,12,1,500000,450000
"JRI Investments, LLC",KS,27,16,2,2,16,2,250000,187500
"Legacy Electric, LLC",CO,84,15,1,0,0,1,50000,25000
"DASTRUP DIVIDENDS, LLC",UT,84,3,2,0,0,1,10000,5000
Kalyan's Inc.,TX,300,2,1,0,0,1,610000,457500
B AND H STORM SHELTERS,TN,60,1,2,0,0,2,15000,7500
"C.A.R.E. - Property Services,",PA,120,15,2,5,4,2,400000,300000
TRAFFIC CONTROL SOLUTIONS LLC,VA,84,3,2,15,18,2,25000,12500
"Shetron Manufacturing, LLC",PA,84,0,1,0,0,2,150000,75000
"Emmaus Road Trucking, L.L.C.",MI,60,2,2,0,2,1,60000,30000
GEORGIA MEDPORT LLC,GA,84,45,1,0,45,2,20000,10000
WILD GRAINS BAKERY LLC,UT,60,50,2,0,50,1,14400,12240
Studio Four NYC LLC,NY,12,5,1,0,0,1,150000,75000
Alpha Construction & Mechanica,FL,84,8,1,0,0,1,25000,12500
"F & P WOOD PRODUCTS, INC.",TX,84,2,2,0,2,1,350000,175000
Freshworld Inc.,CA,12,3,1,1,3,1,1000000,900000
SMS Masterminds,CA,240,7,1,7,0,2,253000,253000
DAVID LEWIN INDUSTRIAL DESIGN,OR,84,1,2,0,1,1,20000,10000
"Good Earth Foods, LLC",OH,84,0,2,4,0,1,50000,25000
"BETEX METALS, LLC",TX,84,7,2,7,7,1,75000,37500
"Irwin Automation, Inc.",PA,120,35,1,8,0,2,545000,545000
"Summit Safety Group, Inc.",MO,84,6,1,0,6,1,150000,127500
Vexxel,UT,12,5,2,25,5,2,150000,75000
Jewels by Joy Inc.,FL,84,3,1,1,1,1,100000,50000
Steinbeck Country Equine Clini,CA,120,26,1,0,26,1,250000,187500
"RIVERWOOD MANAGEMENT, INC",UT,36,8,1,1,7,1,10000,5000
Circle Country Market LLC,MT,67,10,1,0,10,2,30000,15000
"BUCKLEY COMMUNICATIONS, INC.",CA,120,34,1,34,34,1,3450000,2587500
Nail Lux,TX,84,2,2,2,2,1,25000,12500
"SwimCreative, LLC",MN,84,6,1,0,6,1,50000,25000
ABF Inc,CO,13,2,1,0,0,1,100000,50000
ASHTON OKESTER,UT,240,1,1,2,0,1,110000,93500
WILD WEST ENERGY SERVICE LLC,TX,84,10,2,20,10,1,100000,85000
MINERAL PROCESSING SPECIALTIES,PA,48,5,1,0,5,1,123000,61500
"Bentrani Watches, LLC",FL,2,65,1,5,65,1,5000000,4500000
Solar Smart Living LLC,TX,10,7,1,3,10,1,190000,142500
"Brighton Cromwell, LLC",NJ,12,35,1,15,35,1,4500000,4050000
Silly Zak's Gluten Free Bakery,OR,12,2,2,0,2,1,30000,15000
Wortech Corp.,MD,84,3,2,2,5,1,125000,106250
"YK Investment Group #1, Inc. (",CA,300,4,1,0,4,1,1293000,969750
"JLR Group, Inc.",PA,60,3,2,0,3,1,90000,76500
Precise Manufacturing Inc,IN,84,30,1,2,32,1,100000,50000
"Pioneer Communications, Inc.",OH,60,0,1,0,0,1,25000,12500
"The Tyros, LLC",IN,72,3,2,10,13,1,10000,5000
"Black Diamond Gymnastics, LLC",CA,84,45,1,5,0,1,100000,50000
WILD WEST ENERGY SERVICE LLC,TX,12,10,2,20,10,1,150000,127500
Mediterranean Delight Inc,TX,84,4,1,0,4,1,125000,62500
Arctic Ease LLC,PA,11,8,1,8,8,1,500000,375000
Tamarack Consulting LLC,CO,84,4,1,2,2,1,25000,12500
"5 Star Car Sales, Inc.",IN,120,2,1,0,2,1,151500,113625
POPPY MASSAGE LLC,OR,84,1,1,1,1,1,10000,5000
GGS CLOSET,ND,84,1,2,0,1,2,30000,15000
"ANGL, Inc",CA,120,45,1,5,50,1,500000,375000
"Kinetic Lighting, Inc.",CA,120,36,1,0,36,1,370000,277500
Dennis C. Smith,VA,48,2,1,0,0,2,15000,7500
"NELLA MEDIA GROUP, LLC",HI,12,5,1,3,8,1,50000,25000
"Design Haiku, LLC",OH,84,2,2,0,1,1,20000,10000
MICHAEL W SIM & COMPANY P C,VA,84,5,1,0,0,2,50000,25000
Trent Peng dba Pflugerville We,TX,84,9,1,0,9,1,25000,12500
Hasselback Development LLC,WA,84,1,1,1,1,1,10000,5000
ERIC HJERPE,IL,46,10,1,0,10,1,59000,29500
Jaydee Group USA,NY,120,16,1,0,16,1,450000,337500
All American LLC,WI,120,2,2,1,2,1,396000,297000
RLT Enterprizes LLC,CO,60,8,1,0,8,1,20000,10000
R & K Pit Stop LLC,MS,13,18,1,0,18,1,35800,17900
Transworld Trucking LLC,MI,60,1,2,2,1,1,34000,17000
"Anonymous Productions, Inc.",CA,70,1,1,3,0,1,20000,10000
NCC Electrical Services Inc,NM,12,11,1,11,10,2,264000,132000
Mega Mart LLC,NY,120,15,1,0,15,1,850000,637500
Fenton Winery & Brewery,MI,84,7,1,5,7,2,30000,15000
"Grand Real Estate Management,",ME,12,12,1,0,12,1,45000,22500
Robert D Gardner,NE,60,1,1,0,1,1,57000,28500
Chibuto,CO,84,1,1,0,0,1,20000,10000
"Pina Paint Experts, Inc.",IL,84,8,1,1,8,1,20000,10000
Nam Min Cho,CA,120,4,2,0,4,1,1253000,939750
Mar Y Sol NY Inc.,NY,84,2,1,1,0,1,50000,25000
Carpenter Marty Transportation,OH,12,2,2,13,2,1,320000,160000
"BCPP I, LLC",FL,84,0,1,0,0,1,260000,130000
Larry A Daeffler,NY,41,1,2,0,1,1,5000,4250
"E6 Interactive, L.L.C.",UT,84,19,2,1,19,1,25000,12500
"GEOSYS DESIGN, P.C.",UT,84,6,2,0,6,1,50000,25000
NEMS West Virginia LLC,PA,120,0,1,0,0,1,1221000,915750
"Dobransky Firearms, LLC",OH,84,3,2,6,3,1,25000,12500
JEFFREY S HARRIS AND LORENA HA,ND,84,0,2,0,0,1,15000,7500
"Glen Rock Pediatrics, P.C.",NJ,84,1,2,2,0,1,34500,17250
"Mail Management Services, LLC",NC,97,20,1,0,20,1,850000,637500
"Creatherm, LLC",IN,84,3,1,0,3,1,45000,22500
Choon W. Yi & Kap S. Yi,NJ,308,0,1,0,0,1,450000,337500
"INTEGRATED COMPONENTS, INC.",FL,84,10,1,1,10,1,200000,180000
Architectural Components Group,MO,12,100,1,25,0,1,400000,300000
"TDB Trading Enterprises, LLC",TN,84,1,1,0,0,1,350000,175000
"Moore Royal Rock RE, LLC",OK,249,1,2,15,1,1,4284500,3213375
Entry Point Consulting LLC,OH,84,14,2,3,14,2,115000,57500
"The T'Latte Company, L.L.C.",WA,72,5,1,1,5,1,15000,7500
Swift Real Estate LLC,VA,300,22,2,6,0,2,1643500,1232625
Michele Nelson,FL,84,0,2,3,3,1,20000,10000
"Sunset Metal Works, Inc.",PA,27,175,1,0,100,1,300000,225000
"Lea Washateria, LLC",TX,174,1,1,0,0,1,458000,343500
"Podvia & Stanford, D.M.D.'S, P",FL,84,10,1,0,10,1,25000,12500
SRY LLC,CO,84,4,1,2,3,1,35000,17500
"Sunny Day Enterprises, Inc.",WI,84,5,1,0,5,1,163000,122250
Nebraska Hydro-Seeding Co,NE,25,12,1,4,2,1,200000,100000
Allpak Trojan,WA,120,330,1,8,0,1,1492000,1492000
"Kulwinder Logistics, Inc.",OH,84,12,1,1,0,1,75000,37500
"Premier Energy Services, Inc.",GA,12,7,1,4,7,1,5000000,4500000
"Three Chi's, LLC.",TX,84,1,2,0,0,1,25000,12500
"Global Link & Supplies, Inc.",FL,12,38,1,0,38,1,1500000,1350000
"Forte Automation Systems, Inc.",IL,120,73,1,84,73,1,5000000,3750000
CHANGE YOUR STARS INC,WA,67,3,2,0,2,1,19000,9500
Hardly Running Associates LLC,OR,60,15,2,0,15,2,25000,12500
I am champion Inc.,VA,84,0,2,7,7,1,20000,17000
"Northland Control Systems, Inc",CA,60,70,1,0,70,1,350000,262500
"CRSTC, LLC",FL,12,19,2,0,19,1,125000,62500
"Bentoli, Incorporated",TX,12,20,1,15,15,1,875000,787500
"CUSTOM DRYWALL, INC.",RI,8,20,1,0,20,1,1200000,900000
"Hamburg Floor Covering, Inc.",NY,12,12,1,4,16,1,190000,142500
Beacon Behavioral Health Servi,ND,12,3,2,0,3,1,100000,50000
"Advance Token Pizza Alpha, LLC",TX,120,3,2,20,3,1,246700,185025
"Halcyon RX, Inc",WA,60,4,1,1,2,1,80000,40000
Field of Dreams Indoor Sports,WI,120,1,2,1,1,1,90800,77180
MACHMOTION,MO,84,18,1,3,3,2,25000,12500
Mayer Electric Corporation,MN,120,51,1,4,51,1,783200,587400
"COMITSYS, INC.",CA,72,8,1,0,8,1,150000,75000
GenerosoManzo,MA,60,1,1,0,1,1,75000,37500
KIMBERLY J BRANNOCK,NC,84,0,2,1,1,2,16000,8000
JENNIE L CLARK ATTORNEY AT LAW,OR,84,6,1,1,6,1,20000,10000
"Scrapbooks Too, LLC",MN,24,2,2,2,2,1,45000,22500
LI Health & Fitness Inc.,NY,120,3,2,12,0,1,1025000,768750
"STRONG MAN SERVICES, INC.",NV,84,16,1,4,16,1,150000,75000
EXCELLENT SOURCING AND TECHNOL,OR,84,6,1,0,0,1,60000,30000
"RE-Create  Companies, LLC",AZ,24,50,1,10,60,1,500000,375000
Maranatha Transport,CA,84,1,1,1,1,1,20300,10150
Go Jesada LLC,FL,102,1,2,0,1,1,124000,105400
Steidl's Vending Inc.,WI,120,3,1,0,1,2,42000,35700
Sabit LLC,NJ,180,0,2,3,3,1,550000,412500
"KDS, LLC",MI,84,2,2,2,0,1,75000,37500
"481 yogi convenience store, in",MA,60,3,1,0,3,1,75000,37500
Nicolas Linares dba Nicolas Li,OH,60,0,1,0,0,1,10000,5000
F E C Inc.,MI,84,20,1,0,0,1,350000,175000
"Jjang, Inc.",CA,48,10,1,4,0,2,51000,25500
"ALPHA MEDICAL STAFFING, LLC",TX,68,3,1,2,2,1,25000,12500
BOYAJIAN INC,MA,4,14,1,14,14,1,60000,30000
"Brick City Investments, LLC",PA,185,6,2,6,6,1,300000,225000
Florida State Management LLC d,FL,84,9,1,0,0,1,237000,177750
"HIP CHICK FARMS, INC",CA,120,2,2,0,0,1,150000,127500
BBR Services LLC,TX,84,4,1,1,1,1,10000,5000
DVC Industries Inc,FL,120,15,2,1,15,1,255000,191250
Bailey Farm,GA,14,2,1,0,2,2,50000,25000
"MAS Lifestyle, LLC",NE,72,2,2,0,2,1,25000,12500
Jeffrey Tenenbaum DDS,NY,36,9,1,0,9,1,50000,25000
"Cook Aviation, LLC",MO,84,8,1,0,8,1,36000,18000
"PURE COUNTRY, INC",ND,3,10,1,1,0,1,150000,75000
Enrich Construction,MO,24,5,1,0,0,1,60000,30000
SYMPHONY INVESTMENTS LLC,CA,84,3,2,17,3,1,15000,7500
"Hilltop Grill, Inc.",PA,84,12,1,0,0,1,20000,10000
"North Couriers, LLC",TX,12,3,1,0,3,1,75000,37500
Super Irvine II,CA,120,95,2,20,95,1,432000,324000
Harvard L. Tomlinson,OK,12,1,1,0,1,2,600000,540000
"K.N.K. Equities, Inc.",NJ,24,3,1,0,3,1,200000,100000
"DRC International, Inc.",WA,12,9,1,1,9,1,1400000,1260000
"GATEWAY ACCESS, INC.",CA,12,2,1,1,1,1,1000000,900000
COMMERCIAL FLOOR RESOURCES LLC,GA,84,3,2,1,0,2,150000,75000
Three Baers Inc.,NY,84,2,2,0,2,1,200000,150000
"OCTOPUS RESTAURANT COSTA MESA,",CA,120,15,2,15,0,1,500000,375000
MIDWAY PLYWOOD INC,WA,60,9,1,1,0,1,50000,25000
PICOSYS INCORPORATED,CA,60,25,1,0,25,1,515000,386250
2 Sisters Mercantile Inc,ID,120,0,2,2,0,1,100000,50000
Grant Olson DDS PC,MO,300,6,1,6,0,1,1190000,892500
Scott County Restaurants,IN,36,99,1,1,99,1,175000,87500
"Wellness of Life Enterprises,",CA,80,4,1,1,4,1,63000,53550
"B. M. A. USA, Inc.",CA,84,11,1,0,11,1,200000,100000
"B. M. A. USA, Inc.",CA,60,11,1,0,11,1,81700,40850
Glikas Enterprises LLC,NM,4,5,2,0,5,1,10200,5100
"A Livescan Center OC, Inc.",CA,84,1,1,1,0,1,25000,12500
Ankeny Glass Inc,IA,12,1,2,0,1,1,40000,20000
"Strategic Facility Solutions,",CA,84,1,2,0,0,1,63600,54060
Stephen Breton  DBA Breton Ele,MA,60,5,1,0,5,1,52000,26000
"Vin Ben, Inc.",DE,300,15,1,0,15,1,2550000,1912500
"ROSALES & PARTNERS, INC.",MA,12,7,1,2,7,1,75000,37500
"JMC Electrical Contractor, LLC",MI,84,12,1,3,3,1,50000,25000
"NEMS West Virginia, LLC",PA,84,0,1,0,0,1,200000,100000
"500 W. Merrick Realty, LLC (EP",NY,300,22,2,0,22,1,3950000,2962500
G.W.S. SUBSTRUCTURAL CONTRACTO,OR,84,1,1,0,0,2,10000,5000
Joseph Letizia Trucking Inc,AZ,71,6,1,10,16,1,50000,25000
"Baolong International, Inc.",CA,12,4,2,0,4,1,300000,270000
Trademark Plumbing LLC,MA,12,3,1,1,3,1,100000,50000
SMILE NUTRITION,CA,84,1,2,1,1,1,15000,7500
Mattila Marketing Group LLC,MN,84,1,1,0,1,1,25000,12500
"EMS Sales, L.L.C.",MO,240,4,1,1,0,2,79000,79000
SKYSCRAPER PRODUCTIONS LLC,CA,300,14,1,1,14,1,1845000,1383750
Rick Jenkins LLC,CA,300,1,2,0,1,1,3114000,2335500
CYNTHIA PETERS AND ASSOCIATES,OH,84,2,2,0,0,1,20000,10000
All Around Academics Corp,FL,84,2,1,2,0,1,10000,5000
"Laprade Agency, Inc.",MI,84,2,2,1,3,1,115000,57500
Dom N' Tom Inc.,NY,24,25,1,5,5,1,350000,175000
"Curry Drilling, LLC",OH,84,3,1,0,0,1,30000,15000
Freedom Contracting and Safety,OK,24,4,2,2,4,2,200000,150000
"La Cina, Inc",MI,84,9,1,0,0,1,25000,12500
"Downtown Pharmacy, Inc",OR,12,10,1,0,10,1,75000,37500
Accend Energy,CA,12,30,1,6,15,1,350000,175000
"J.A.M.S., Inc.",OH,63,11,1,0,0,1,56000,28000
B.A.D. Boys Auto Body,UT,84,8,1,0,8,2,20000,10000
SMI Export Corp.,TX,12,1,1,0,1,1,2400000,2160000
"WILLIE R. GONZALES, JR. DDS, P",TX,60,17,1,2,17,1,52800,26400
"CALIFORNIA BULGOGI IRVINE, INC",CA,120,7,2,7,0,1,200000,150000
"New England Safety Systems, In",MA,84,17,1,2,17,1,70000,35000
"3Forty Group, Inc.",NJ,60,15,2,0,15,1,100000,85000
"EMS Sales, L.L.C.",MO,13,4,1,0,4,1,20000,10000
Mexican Country Imports Inc.,TX,9,4,1,0,4,1,32000,16000
"Social Hall, LLC",UT,60,17,1,3,17,1,60000,51000
"Cronk Enterprises, LLC",MT,84,7,1,0,7,1,15000,7500
"MDS Doors, Inc.",CA,12,15,1,0,15,1,50000,25000
Ormsby International Customhou,IL,84,6,1,0,0,1,170000,85000
Cherry Republic Inc.,MI,11,165,1,0,165,2,1000000,750000
Raffaele Lagonigro,NJ,84,1,2,2,0,1,56300,28150
"MORGAN MILL METALS, LLC",RI,12,10,1,2,2,1,350000,175000
Karen Burns,MS,12,1,1,0,1,1,53000,45050
"Destiny Homes, Inc.",ID,84,4,1,4,0,1,100000,85000
CT Corp,CA,36,3,2,0,0,1,7000,3500
"GCAM, LLC",WI,240,1,2,5,0,2,1279000,1279000
Steven J Cibula dba Steven J C,OH,43,0,1,0,0,1,45700,22850
Eat Your Heart Out Catering Co,MA,84,3,1,0,3,1,25000,12500
"The IRC Company, Inc.",CA,123,7,1,0,7,1,577000,432750
"Mountain Automotive Group, LLC",CA,120,2,1,0,2,1,67500,57375
"Longevity Consulting, LLC",VA,12,10,1,5,10,1,150000,127500
"J Kruse Investments, LLC D/B/A",MO,84,70,1,12,70,2,153000,76500
Countywide Service Inc,MO,84,13,1,0,0,1,30000,15000
"Great Lakes Outdoor Supply, In",OH,12,27,1,0,27,2,1600000,1200000
WOLFF TRUCKING,MT,48,1,1,0,1,1,44700,37995
Bloss Hardware,PA,84,2,1,1,2,1,100000,50000
Comfort Dent P.C.,MI,120,15,1,0,15,1,1547000,1160250
"Metro South Insurance Agency,",MA,60,3,1,0,0,1,50000,25000
Floral Beauty Greenhouses LLC,NY,60,2,2,0,2,1,75000,63750
"Cenergy Studios, LLC",NY,60,3,2,0,3,1,20000,10000
Evo Products Corporation,FL,84,1,1,1,0,1,350000,175000
Hourglass Abrasives & Coatings,NY,84,4,2,0,4,1,252000,189000
La Mer Collections LLC,CA,24,16,1,6,16,1,1000000,750000
"Xtreme Fire Protection, Inc.",IL,84,7,1,10,10,1,25000,12500
"Mobility Resource Associates,",MI,120,45,1,0,5,1,3000000,2250000
"Meridian Graphics, Inc.",CA,300,50,1,10,60,1,2950000,2212500
Laughing Dog Brewing Inc,ID,12,13,1,0,0,1,200000,150000
"Mobility Resource Associates,",MI,25,45,1,0,5,1,750000,562500
Global IT Associates LLC,NY,84,4,1,4,4,1,30000,15000
"MRD, LLC",ME,60,10,2,0,10,1,20000,10000
CASTILLO FARMS,NM,84,2,2,0,2,1,30000,15000
"TESCOR, INC.",PA,12,45,1,8,6,2,1100000,990000
Amsco Global LLC,VA,12,8,2,5,3,1,350000,315000
"Rockwell Electric, Inc",WA,60,8,1,0,8,1,16000,13600
"Rockwell Electric, Inc",WA,84,8,1,0,8,1,50000,25000
Aim To Please LLC,OK,12,2,2,0,2,1,25000,12500
Ann M. Higginbottom,TX,84,1,1,0,1,1,15000,7500
Lampe Publications LLC,IL,12,0,2,1,1,1,25000,12500
CONCEPT DENTAL LAB INC,IL,60,3,1,0,1,1,10000,5000
"Jeteye, Inc.",NJ,84,10,1,10,0,1,150000,75000
TIMP Group LLC,UT,120,4,1,2,2,1,97800,48900
Charles Blevins Jr dba Charles,OH,60,0,1,0,0,1,10300,5150
"Darter Plastics, Inc.",MN,120,23,1,1,23,2,500000,375000
"JWSKM, INC.",CA,120,11,1,0,11,1,202600,151950
"Darter Plastics, Inc.",MN,120,23,1,1,23,2,1500000,1125000
"Artemis, Inc.",NE,12,8,1,0,0,1,75000,63750
Shreeji Swami LLC,TX,84,5,1,0,5,1,98000,49000
FE Express LLC,MI,24,0,1,0,0,1,22800,11400
Innovative Maintenance Solutio,CA,84,50,1,0,50,1,130000,65000
Alliance Adult Medical Daycare,NJ,84,5,2,14,5,1,100000,50000
"Latin American Trading Group,",GA,12,4,1,2,4,1,2500000,2250000
Dr Produce LLC,NJ,13,18,1,2,20,1,350000,175000
"Eva Franco, Inc.",CA,12,20,1,0,20,1,1000000,750000
"Wine Country Party & Events, L",CA,120,120,1,50,0,1,1187000,890250
Comprehensive Dermatology of R,NY,120,1,2,4,1,1,265000,198750
"Platinum Partners, LLC",KY,120,30,1,30,30,1,439600,329700
Claire Affleck,NY,72,1,1,0,1,1,10000,5000
"CMC Technology Group, Inc.",ME,12,30,1,0,30,1,200000,100000
"Urgent MD, Inc.",CA,120,1,2,0,1,1,620000,465000
"Joseph T Braun, PLLC",MN,60,1,2,1,0,1,5000,2500
"Ericon, Inc.",NE,60,20,1,0,20,1,150000,75000
Cullen Custom Homes LLC,MA,36,2,2,1,3,2,50000,25000
"Fusion Specialty Pharmacy, Inc",UT,84,0,2,2,2,1,260000,195000
Tamara Jasmina Danowski DBA Ta,NY,60,1,1,0,1,1,35000,17500
Christopher Everett,KS,48,1,1,0,1,2,59900,29950
"JENKINS CHIROPRACTIC, LTD.",IL,48,8,1,0,8,1,97000,48500
"Evergroup, Inc.",GA,84,9,1,0,9,1,25000,12500
"Zu Cable, Incorporated",UT,84,9,1,0,9,1,50000,25000
"DIRECTMED PARTS, LLC",CA,84,5,2,2,7,1,200000,100000
"Dye Ties, LLC",UT,46,15,2,0,15,1,350000,175000
American Storage and Logistics,MI,84,37,1,5,37,1,160000,80000
"Shelton-Miller, Inc.",TX,84,2,2,0,2,1,99900,49950
Dura Mark Inc,OH,120,25,1,25,50,1,465900,349425
Jayson Moblo dba J and W Trans,MI,43,0,1,0,0,1,50500,25250
Carabello Coffee,KY,84,1,1,0,0,1,15000,7500
Spark Machining & Tools LLC,OR,24,1,2,0,0,1,5000,2500
"Upstate Sports, LTD",NY,12,15,1,0,15,2,75000,37500
Richmond Rolloff Service Corp.,NY,60,2,1,1,1,1,75000,37500
Fisrt Line Fishing,MA,84,1,1,0,1,1,100000,50000
500 Clarkson Inc.,NY,60,6,1,0,6,1,45000,22500
A1 Industrial Tools and Servic,UT,24,129,1,10,129,1,1000000,750000
"Miguel R. Hernandez MD, P.C.",NY,84,1,2,0,0,1,70000,35000
"Im & Hyun, Inc.",CA,48,2,1,0,2,1,50000,25000
SUSAN QUINTANA,CO,70,2,2,0,2,1,10000,5000
"Desert Subway, Inc.",AZ,120,200,1,0,200,1,896500,672375
"Managed Resources, LLC",ID,84,2,1,0,0,1,10000,5000
"Timberline Helicopters, Inc.",ID,60,10,1,0,10,2,600000,450000
"Morris And Smith, Inc.",CA,84,50,1,10,5,1,25000,12500
Sun Fusion Inc,TX,60,5,1,12,10,1,101000,50500
"Parish Tractor Company, LLC",MS,60,17,2,3,17,2,160500,120375
"Elite Turning & Machining, Cor",NY,12,5,2,0,0,1,18900,9450
"Dina M. Bowen, MD, PLLC",OK,6,10,1,0,10,1,50000,42500
"CIC Photonics, Inc.",NM,12,6,1,2,6,1,300000,270000
"A1 TRASH SERVICE, INC.",KS,12,3,1,0,3,2,20000,10000
"Vapor, LLC",WA,86,0,2,3,3,1,42000,35700
XLE Metals Inc,PA,60,15,2,0,15,1,100000,75000
"Blue Beetle Pest Management, L",MO,84,12,1,0,12,1,150000,127500
"IMT RECYCLING GROUP, LLC",NE,36,2,2,0,2,1,250000,187500
"Hytec Properties, LLC",NC,300,16,1,0,0,1,647000,485250
"Transpacific Financial, Inc.",CA,84,32,1,12,32,1,580000,435000
"Mega Martial Arts Supply, Inc",NJ,84,5,1,2,0,1,50000,25000
Pest Elimination Services of T,TN,84,12,1,2,0,1,20000,10000
"Sam and Sydney, Inc.",MN,12,1,1,2,1,1,100000,50000
